Complexity,Loss,Equation
1,7077.953,"188.67981"
3,6886.96,"Solute_content + 180.47325"
5,5053.5728,"22910.473 / (Grain_Size - -90.90574)"
7,4624.1953,"(2147.8533 / (Grain_Size - -11.643675)) + 116.49461"
9,3912.6238,"((Solute_content / (Grain_Size - -8.061352)) * 176.33585) + 133.52098"
11,3607.8264,"(Solute_content + 21.539038) * ((91.79424 / (Grain_Size - -13.118082)) + 3.5080376)"
13,3441.173,"(((106.31114 / (Grain_Size - -13.2587)) + 4.728198) - Mixing_enthalpy) * (Solute_content + 17.043793)"
14,3339.7432,"((153.7033 / (Grain_Size - -14.237114)) + square(2.9914296 - Mixing_enthalpy)) * (Solute_content + 9.447443)"
16,3332.1895,"(Solute_content + 8.878225) * (square(((40.852978 / (Grain_Size - -20.920403)) + 2.3214695) - Mixing_enthalpy) + 3.0728006)"
17,3320.9893,"(Solute_content + 15.21954) * (((5.2316084 - square(Mixing_enthalpy)) + (113.57483 / (Grain_Size - -13.543335))) - cos2(Shear_modulus_mean))"
19,3274.0203,"(Solute_content + 14.685527) * ((5.5795913 - square(Mixing_enthalpy)) + ((113.19014 / (Grain_Size - -13.509898)) - cos2(Solute_content / 2.9575176)))"
21,3267.3015,"(((165.45055 / (Grain_Size - -14.69731)) - cos2(Solute_content / 2.920186)) + square(3.1734972 - Mixing_enthalpy)) * ((Solute_content + 8.63224) - Mixing_enthalpy)"
22,3248.9666,"(((140.64789 / (Grain_Size - -12.313095)) - cos2(Solute_content / 2.904317)) + square(3.2467935 - Mixing_enthalpy)) * (Solute_content + (8.446936 - cos2(Shear_modulus_mean)))"
25,3243.3499,"((cos2(MagpieData_range_GSvolume_pa / 0.88032836) + (square((2.1285906 - Mixing_enthalpy) + (39.807713 / (Grain_Size - -21.20612))) + 4.0011206)) * (Solute_content + 11.572099)) - (Shear_modulus_mean + 13.3808975)"
27,3215.481,"((((2.102115 / Grain_Size) + Solute_content) + 11.069117) * (cos2(MagpieData_range_GSvolume_pa / 0.88116324) + (square(((52.661243 / (Grain_Size - -30.23494)) + 2.1663427) - Mixing_enthalpy) + 3.7806609))) - 32.70086"
28,3206.9717,"((square(((47.35424 / (Grain_Size - -26.5771)) + 2.2241125) - Mixing_enthalpy) + (cos2(MagpieData_range_GSvolume_pa / 0.8806524) + 3.5150635)) * (10.848436 + (square(1.2224984 / Grain_Size) + Solute_content))) - 26.77962"
29,3205.4983,"((((cos2(3.2197716) / cube(Grain_Size)) + Solute_content) + 10.791457) * ((3.4962752 + cos2(MagpieData_range_GSvolume_pa / 0.88066363)) + square((45.7131 / (Grain_Size - -25.697731)) + (2.2381725 - Mixing_enthalpy)))) - 25.6404"
31,3204.7808,"((((1.4889169 / (Grain_Size * Grain_Size)) + (Solute_content + 11.632605)) * (cos2(MagpieData_range_GSvolume_pa / 0.881221) + (square((50.505287 / (Grain_Size - -28.448198)) + (2.14865 - Mixing_enthalpy)) + 3.932119))) - 28.871008) + -9.27722"
32,3202.0684,"(((((1.0759547 / (Grain_Size * square(Grain_Size))) + Solute_content) + 11.647497) * (cos2(MagpieData_range_GSvolume_pa / 0.88125384) + (square((2.1312466 - Mixing_enthalpy) + (50.42062 / (Grain_Size - -27.979668))) + 3.948766))) - 28.488585) + -8.902234"
33,3175.9814,"(((square(Mixing_enthalpy - ((32.70648 / (Grain_Size - -18.125809)) + 2.2894633)) + cube(cos2(square(MagpieData_range_GSvolume_pa + -1.5158376)))) + 3.4203963) * (Solute_content + 10.646007)) + ((((11.946268 / Grain_Size) + -1.9825612) / Grain_Size) - Shear_modulus_mean)"
37,3175.7563,"((((square(Mixing_enthalpy - ((32.70648 / (Grain_Size - -18.125809)) + 2.2894633)) + (cube(cos2(square(MagpieData_range_GSvolume_pa + -1.5158376))) + 3.4203963)) * (Solute_content + 10.646007)) + (((11.946268 / Grain_Size) + -1.9825612) / Grain_Size)) - Shear_modulus_mean) + (0.0638613 * Solute_content)"
40,3166.605,"(Shear_modulus_mean / square(Grain_Size)) + (((Solute_content + 11.649739) * (square(((48.917896 / (Grain_Size - -27.711927)) + 2.184571) - Mixing_enthalpy) + (cube(cos2(square(MagpieData_range_GSvolume_pa + 1.9727559))) + 3.9850383))) - (Shear_modulus_mean + ((cos2(Mixing_enthalpy + square(MagpieData_range_GSvolume_pa)) * Shear_modulus_mean) + 8.995719)))"
42,3121.3481,"((((cube(cos2(square(MagpieData_range_GSvolume_pa + 3.8074636))) + 4.4671445) + square((50.623703 / (Grain_Size - -29.107527)) + (1.901779 - Mixing_enthalpy))) * (Solute_content + 13.242653)) - (Shear_modulus_mean + (cos2(square(MagpieData_range_GSvolume_pa) + Mixing_enthalpy) * (Shear_modulus_mean + MagpieData_range_GSvolume_pa)))) + (Shear_modulus_mean / square(Grain_Size * Grain_Size))"
44,3119.957,"((Shear_modulus_mean / (Grain_Size * square(Grain_Size))) + ((11.649739 + Solute_content) * (square((48.917896 / (Grain_Size - -27.711927)) + (2.184571 - Mixing_enthalpy)) + (3.9850383 + cube(cos2(Mixing_enthalpy - square(MagpieData_range_GSvolume_pa / 1.9727559))))))) - ((cos2(Mixing_enthalpy + square(MagpieData_range_GSvolume_pa)) * Shear_modulus_mean) + (8.995719 + Shear_modulus_mean))"
